host_chr	host_pos	virus_pos	support	sample	virus_strand	method
chr9	122772872	2971	145	N	+	Pos
chr9	130428441	1878	274	T	-	Pos
chr10	5511200	2123	191	N	-	PB
chr10	6016491	2594	37	T	-	PB
chr10	41637757	1037	280	T	-	PB
chr10	56650602	295	211	N	-	Pos
chr10	77858769	459	92	N	+	PB
chr10	84772708	810	31	N	+	Pos
chr10	87581723	1116	305	T	-	Pos
chr10	126746373	3140	53	N	+	PB
chr11	27394733	1985	10	N	-	Pos
chr11	29551412	770	7	T	+	PB
chr11	29596390	2191	158	T	-	PB
chr11	30837247	2594	26	T	-	PB
chr11	33405514	394	55	T	+	PB
chr11	34107868	2522	219	T	+	PB
chr11	58472293	2440	27	N	-	PB
chr11	66334465	1521	7	T	-	PB
chr11	98884590	2938	80	T	-	PB
chr11	99378795	3042	207	T	-	PB
chr11	101374806	3080	6	N	+	PB
chr11	113365461	1928	69	N	-	PB
chr11	115547890	1767	287	N	-	PB
chr11	116505729	1877	154	T	-	PB
chr11	119549769	381	112	N	+	PB
chr11	130086908	3069	179	N	+	Pos
chr12	12767341	585	76	T	+	Pos
chr12	16320878	590	331	N	-	PB
chr12	18546956	2423	170	T	+	Pos
chr12	20189327	1849	109	T	-	Pos
chr12	20849531	1960	100	N	+	Pos
chr12	21834056	2471	296	T	-	PB
chr12	25608919	795	33	N	-	Pos
chr12	26428856	1732	5	T	+	Pos
chr12	27274157	2159	43	T	-	PB
chr12	33555567	667	94	N	-	PB
chr12	33812868	1817	176	N	-	Pos
chr12	42034955	2715	23	T	-	Pos
chr12	47335944	543	500	T	-	PB
chr12	51690945	803	36	T	-	Pos
chr12	57845276	2975	182	N	-	PB
chr12	77704703	34	83	N	-	PB
chr12	112375859	2216	231	T	-	Pos
chr12	115085065	1692	36	N	-	PB
chr12	116208978	783	27	T	-	PB
chr12	117817313	175	162	T	-	PB
chr12	118138440	2929	142	N	+	Pos
chr13	4697676	1296	44	N	-	PB
chr13	5760109	3095	188	N	-	Pos
chr13	6227370	2182	161	T	+	PB
chr13	6728978	664	24	N	-	Pos
chr13	7846266	363	61	N	-	PB
chr13	26774655	770	58	T	-	Pos
chr13	28591230	1016	26	N	+	PB
chr13	32210034	584	48	N	+	Pos
chr13	79582182	1675	44	T	+	Pos
chr13	87222831	524	74	N	+	PB
chr13	113701864	2488	100	N	+	PB
chr14	18397770	1746	30	T	+	Pos
chr14	25778354	2691	56	T	-	PB
chr14	26096145	2523	25	N	+	PB
chr14	26234886	2492	159	N	-	Pos
chr14	26583453	823	1331	T	+	PB
chr14	27179904	2220	92	N	+	PB
chr14	32745306	2398	492	N	-	Pos
chr14	41836838	1813	46	N	+	PB
chr14	41883560	3115	131	T	+	PB
chr14	42256558	1091	126	T	-	PB
chr14	42393787	1789	210	T	-	PB
chr14	64998034	2893	80	T	-	PB
chr14	70556114	2005	136	T	+	Pos
chr14	96896147	2592	42	N	-	PB
chr15	5650881	2942	33	N	-	Pos
chr15	14493342	1342	6370	T	-	Pos
chr15	37243101	2084	1424	T	-	PB
chr15	47454783	544	134	T	-	PB
chr15	48430293	2124	120	T	-	PB
chr15	48473960	2601	117	T	+	PB
chr15	50752889	671	247	N	-	PB
chr15	58445721	1402	42	N	+	PB
chr15	62012005	2189	10	T	+	PB
chr15	64564398	2716	243	T	-	PB
chr15	65370749	1787	79	T	-	Pos
chr15	69064502	2908	32	N	+	PB
chr15	69236904	3152	150	T	+	Pos
chr15	81232489	2954	15	T	-	PB
chr15	97888917	1199	54	N	-	Pos
chr16	30970453	2875	16	T	+	PB
chr16	32779527	1240	45	N	-	PB
chr16	39133955	710	2453	T	-	PB
chr16	48744942	1727	91	N	-	Pos
chr16	52903949	1151	429	N	-	PB
chr16	72593766	680	137	N	-	PB
chr16	74731370	2366	32	N	-	PB
chr16	79119749	715	205	N	+	Pos
chr16	79176017	545	49	N	-	PB
chr16	79281708	1269	44	N	+	PB
chr16	79380815	2567	105	N	-	PB
chr16	79779071	1294	123	T	-	Pos
chr16	80175442	3143	1047	T	-	PB
chr17	11141982	1573	162	T	-	PB
chr17	11524504	833	92	T	+	Pos
chr17	44438751	529	79	N	-	PB
chr17	60338247	2176	1009	T	-	PB
chr17	63418280	2107	26	N	+	PB
chr17	70768128	1733	47	N	-	PB
chr17	75611159	2572	210	N	-	Pos
chr17	76540501	1167	57	N	+	PB
chr18	10820526	2995	290	N	-	Pos
chr18	10851973	2682	99	T	-	Pos
chr18	13075715	879	30	N	-	PB
chr18	13518561	2066	70	T	-	PB
chr18	14126531	163	81	N	-	PB
chr18	16374960	2420	134	N	-	PB
chr18	21241346	1091	126	T	-	PB
chr18	21732028	2694	113	N	-	Pos
chr18	21959416	566	450	N	+	PB
chr18	23190680	2891	91	N	-	Pos
chr18	42423298	738	59	T	-	PB
chr18	49834400	2617	848	T	-	Pos
chr18	55046283	502	928	T	+	PB
chr18	59616955	374	39	T	+	PB
chr19	2271567	1185	191	N	-	Pos
chr19	2472749	2891	134	N	-	Pos
chr19	3279965	2681	21	T	-	PB
chr19	4185103	1294	551	T	-	Pos
chr19	4709626	594	85	T	-	PB
chr19	4917618	2638	223	N	-	Pos
chr19	5009935	1931	117	N	-	PB
chr19	5235178	3158	50	N	-	Pos
chr19	5379588	3020	81	N	-	PB
chr19	5776520	1678	88	N	-	Pos
chr19	6264805	1039	14	T	+	PB
chr19	10535927	748	756	N	-	Pos
chr19	10754004	1963	131	T	-	PB
chr19	11830030	1842	44	T	+	PB
chr19	15110083	2003	14	N	+	PB
chr19	22310757	2110	13	N	+	Pos
chr19	24128058	1929	166	N	-	PB
chr19	24479678	3064	67	T	-	PB
chr19	24689270	2544	52	T	-	Pos
chr19	25102257	511	500	T	-	PB
chr19	25288685	2897	39	N	-	PB
chr19	25560426	2837	27	T	+	PB
chr19	25857359	1239	273	N	-	PB
chr19	25972597	1160	221	N	-	Pos
chr19	26535974	1162	114	N	+	Pos
chr19	26731559	642	222	T	-	PB
chr19	48879237	2316	82	N	+	PB
chr19	50985854	1922	349	T	+	PB
chr19	52996357	2750	45	N	+	PB
chr19	54393987	588	9	N	-	PB
chr19	54510160	2544	77	N	-	Pos
chr19	58261027	2165	99	T	-	Pos
chr20	32902224	1224	71	N	-	Pos
chr20	39878837	709	18	N	+	PB
chr20	42632243	2976	370	T	-	Pos
chr20	46874449	502	57	N	-	PB
chr20	47485557	2179	17	T	-	PB
chr20	48377286	1904	138	T	-	Pos
chr20	49132948	425	36	N	-	Pos
chr20	51946352	1093	47	T	-	PB
chr20	55313827	352	1560	N	+	PB
chr20	56516817	1225	96	T	-	PB
chr20	56840456	1479	147	T	-	PB
chr21	693177	1401	135	T	+	Pos
chr21	25314682	2151	47	T	-	Pos
chr21	27912486	1464	138	T	+	PB
chr21	28812021	3149	164	N	+	PB
chr21	29293389	2935	120	T	-	Pos
chr21	38901295	484	499	T	+	PB
chr21	41611917	1285	61	N	-	PB
chr21	42603926	1446	95	T	+	PB
chr22	4928971	2804	53	N	-	PB
chr22	6202146	74	33	T	+	Pos
chr22	6236970	762	298	N	-	Pos
chr22	6593628	569	37	N	+	PB
chr22	16592525	1459	71	T	+	PB
chr22	16906168	1663	26	N	-	PB
chr22	18422122	2120	193	N	+	PB
chr22	38774543	2516	93	N	-	PB
chr22	39818805	1239	1020	N	+	Pos
chr22	46797907	490	65	T	-	PB
chr22	49621549	1306	96	N	-	PB
chrX	6470702	578	223	T	-	PB
chrX	21538642	2997	196	T	+	PB
chrX	32307360	1211	764	T	-	Pos
chrX	46524111	765	108	T	-	PB
chrX	51488821	1913	330	N	+	PB
chrX	73783980	2209	65	T	+	PB
chrX	75027852	2378	26	T	+	PB
chrX	77006985	2958	52	T	+	PB
chrX	77661271	2178	46	T	+	Pos
chrX	78096978	787	99	N	+	PB
chrX	79643843	1697	405	T	-	Pos
chrX	80333481	3050	168	N	-	Pos
chrX	84165093	1173	125	N	-	Pos
chrX	87684531	644	357	N	-	PB
chrX	89019415	1008	40	T	-	PB
chrX	89224978	1016	58	N	-	PB
chrX	89514302	1175	91	N	+	Pos
chrX	92369259	781	67	T	-	PB
chrX	93551326	1656	18	N	-	PB
chrX	94003067	1746	62	T	+	PB
chrX	106009063	2471	150	T	-	PB
chrX	107996260	1785	72	N	-	PB
chrX	113026595	1794	81	N	+	PB
chrX	132420332	536	194	T	+	Pos
chrX	132782803	828	280	N	-	PB
chrX	135919920	1253	20	T	+	Pos
chrX	148459681	488	891	N	+	PB
chrX	153241974	1051	50	T	-	Pos
chrY	17211978	1694	9	T	+	Pos
chrY	26295790	553	25	N	-	Pos
chrY	28068049	2845	971	N	-	PB
chrY	28651018	1627	39	N	+	PB
chrY	29099689	1238	89	T	+	Pos
chrY	39904522	2349	25	T	-	Pos
chrY	40361934	318	42	N	+	Pos
chrY	52966405	2547	88	N	-	Pos
chrY	54897030	1404	27	T	-	Pos
